Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Israel,Nation-state law protests,18-Aug,Free,Passage of a nation-state law that would affirm Israel’s Jewish character and potentially marginalize non-Jewish citizens.,Anti-Arab discrimination.,"30,000","Jews, Palestinians.",3 weeks,"No policy/leadership change in response to the protests. The High Court agreed to hear cases against the law, but hearings have been repeatedly postponed.",,,X,,Hundreds of thousands,X,X,X,X,,Jerusalem
Israel,Recommendations bill protests,17-Dec,Free,"Draft law that would end the existing practice of having police recommend to prosecutors whether to indict suspects, while also preventing police recommendations from being made public and penalizing leaks from investigations. Suspicions that the law's implications could affect an ongoing investigation into Prime Minister Benjamin Netanyahu.",Government corruption and lack of transparency.,"20,000",General public.,3 weeks,Netanyahu called for reforms to the draft bill to exclude him from its purview.,,,X,,Tens of thousands,X,,,,,Jerusalem
Italy,Ultima Generazione protests,22-Jun,Free,Perceived government inaction on climate change.,Fears of catestrophic consequences of climate change.,<100,Climate activists.,"Active, intermittently",No policy/leadership change in response to protests.,X,,X,,Tens,,,,X,,Rome
Italy,Access to abortion protests,22-Sep,Free,The victory of far right parties in the country's general election.,Fears that a right-wing government would restrict access to abortion.,">1,000",Women.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Rome
Italy,Coronavirus restriction protests,21-Feb,Free,"The imposition of vaccine mandates, public health restrictions, and the enactment of a rule requiring employees to have a ""Green Pass,"" which shows vaccination or negative coronavirus test status, in order to enter workplaces.",Frustration over vaccine and testing requirements and other restrictive public health measures.,">10,000","General public, including right-wing groups.",1 year,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,X,X,Rome
Italy,Cost of living protest,22-Oct,Free,"Rapidly rising prices, especially of fuel.",Frustrations over the government's support for Ukraine and inability to curb prices.,>100,General public.,1 day,No policy/leadership change in response to protest.,,X,X,,Hundreds,,,,,,Rome
Italy,Prison protest,20-Mar,Free,"Overcrowding in prisons during the coronavirus outbreak. Government decision to suspend or limit family visits to more than two dozen prisons for the next two weeks, due to coronavirus concerns.","Prison overcrowding, lack of government support for the prison system, and poor conditions in prisons.",Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,,X,X,,Tens of thousands,,,,,,Rome
Italy,Union-led economic protests,19-Feb,Free,Announced investment and pension reform that unions viewed as inadequate to combat economic stagnation and high unemployment.,"Economic stagnation, lack of employment opportunities, and government's failure to address challenges such as corruption, climate change, and sexism.",">100,000",Trade unions.,2 months,No policy/leadership change in response to the protests.,,,X,X,Tens of thousands,,,,,,Rome
Ivory Coast,Third-term protests,20-Aug,Partly free,"Announcement that President Alassane Ouattara would seek a third term in office, despite a two-term limit.","Democratic backsliding, entrenchment of Ouattara’s Rally of Houphouëtists for Democracy and Peace (RHDP) party, and manipulation of the constitution for political gain.",">1,000",General public.,3 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,X,,,Yamoussoukro
Japan,Police brutality protests,20-Jun,Free,"The death of George Floyd in the United States, sparking protests against local police brutality and racism in Japan, most recently manifesting in police violence against a Kurdish man.","Police brutality, systemic racism, and lack of government recognition of systemic racism.",">1,000",General public.,2 weeks,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Tokyo
Jordan,Dignity strike and protest.,22-Dec,Not free,An increase in fuel prices.,"A rise in unemployment, debt, inflation, and food and energy prices.",>100,Truck drivers.,2 weeks,No policy/leadership change in response to the protests.,,X,,,Hundreds,,,,,,Amman
Jordan,Tax law protests,18-May,Not free,Tax hikes and price increases for electricity and fuel.,"Government corruption, lack of political rights, and a stagnant economy.",">10,000","Youth movement, civil society groups, professional associations, labor unions.",1 week,"Then prime minister Hani Mulki stepped down, and his successor, Omar Razzaz, rescinded the proposed changes.",,,X,,Tens of thousands,,,,,,Amman
Jordan,Teacher pay protests,20-Jul,Not free,The government’s failure to abide by a pay raise agreement between the education ministry and the Teachers’ Syndicate union.,Insufficient pay for public sector workers amid rising costs of living and anger over the government’s repression of the Teachers’ Syndicate.,">1,000","General public, especially teachers.",1 month,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Amman
Jordan,Water deal protest,21-Nov,Not free,The announcement of a deal between Israel and Jordan that would provide Israeli firms access to Jordanian solar energy resources in exchange for water from Israel.,Frustration with Jordan's policy toward Israel.,>500,General public.,1 day,No policy/leadership change in response to protest.,,,X,,Hundreds,,,,,,Amman
Kazakhstan,Election protests,19-Jun,Not free,Recent presidential election results that were seen as undemocratic/illegitimate.,Undemocratic elections and lack of meaningful political choice and change.,">1,000",General public.,5 days,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,X,X,X,X,,Nur-Sultan
Kazakhstan,Fuel price protests,22-Jan,Not free,The lifting of price caps on liquid petroleum gas.,"Frustration over rising cost of living, economic stagnation and inequality, lack of political pluralism, and intolernace of dissent.",">10,000",General public.,10 days,"The prime minister and his cabinet resigned, former president Nursultan Nazarbayev was removed as chairman of the country's Security Council, and the fuel price caps were restored.",,X,X,,Tens of thousands,X,,X,,,Nur-Sultan
Kazakhstan,House fire protests,19-Feb,Not free,The deaths of five children in a house fire that occurred while both parents were working overnight shifts.,"Lack of sufficient social support for working families, inadequate housing infrastructure, and the high cost of living.",>500,"General public, especially women.",2 months,The government of prime minister Bakytzhan Sagintayev was fired by President Nursultan Nazarbayev.,,X,X,,Thousands,,,,,X,Nur-Sultan
Kenya,2023 inflation protests,23-Mar,Partly free,"Inflation rose to 9.2% in February 2023 despite the president's promises to bring down costs of living; on April 28, 2023, the Kenya Treasury Cabinet Secretary presented Parliament a proposed finance bill that would hike taxes on fuel and housing.",Anger over the rising cost of staple goods; dissatisfaction over the results of the 2022 presidential election and the Supreme Court's dismissal of fraud allegations related to that vote; anger over police brutality in suppressing the protests.,">1,000",Supporters of the opposition.,4 months,"On June 22, Kenya’s parliament approved the finance bill; President William Ruto signed it into law on June 26. But in a reversal, the government announced on August 14 that it partially reinstated fuel subsidies in an effort to lower fuel prices.",,X,X,,Thousands,X,,X,X,,Nairobi
Kenya,2017 election protests,17-Aug,Partly free,The publication of electoral results that showed that incumbent President Uhuru Kenyatta had been reelected.,"Concerns over a lack of genuine political pluralism, allegations of electoral manipulation, and the entrenchment of Kenyatta.",">1,000",General public.,2 months,"Though the Supreme Court nullified the election’s results and called for a new contest, opposition leader Raila Odinga withdrew in protests and Kenyatta was proclaimed the victor.",,X,,X,Tens of thousands,,,,,,Nairobi
Kenya,2022 election protest,Aug-22,Partly free,"Independent Electoral and Boundaries Commission declared William Ruto winner of presidential election despite some claims of ""opaque"" vote verification","Perceptions of unfairness in elections, especially against opposition candidate Raila Odinga.",">1,000","General public, especially supporters of Raila Odinga.",1 day,"No policy/leadership change in response to protests. On September 5, the Kenyan Supreme Court unanimously rejected the opposition challenge to the results of the presidential elections.",,,X,,Thousands,,,,,,Nairobi
Kenya,National Youth Service corruption protests,18-May,Partly free,Revelations that over $100 million had been embezzled from Kenya’s National Youth Service.,"Anger over official corruption, the lack of youth opportunity, and high unemployment.",">1,000","General public, especially youth.",1 month,Thirty officials associated with the National Youth Service were charged in relation to the scandal.,,,X,,Tens of thousands,,,X,,,Nairobi
Kenya,"Njaa (""hunger"") Revolution protests",22-May,Partly free,Increasing prices of staple foods.,"Worsening economic conditions, accelerated by the war in Ukraine.","1,700",General public.,2 months,No policy/leadership change in response to the protests.,,X,,,Thousands,,,,,,Nairobi
Kosovo,Mayoral election protests,23-May,Partly free,"Kosovo held mayoral elections to fill four vacancies in Serb-majority municipalities, which Serbian parties and candidates by and large boycotted. Ethnic Albanian candidates won all four races without competition. Serb citizens of these municipalities sought to prevent the Albanian officials from taking office. Kosovar police escalated the situation by taking control of municipal buildings and escorting the elected mayors inside",Resentment over Kosovar rule of Serb-majority municipalities; desire to create an association of majority-Serb municipalities operating with considerable autonomy.,>100,Serbs in northern Kosovo.,1 week,NATO deployed 700 additional troops after protesters injured thirty NATO peacekeepers. Kosovar Prime Minister Kurti proposed a solution to the crisis on June 13 that would involve early mayoral elections in the four Serb-majority municipalities and a reduction in police presence there.,,,X,,Hundreds,X,,,,,Pristina
Kosovo,License plate protests,22-Jul,Partly Free,The announcement of new laws which would require ethnic Serbs crossing into Kosovo to show identity cards and license plates provided by the Kosovar government instead of the special status documents provided by the Serbian government.,Perceived mistreatment and persecution of ethnic Serbs by the Kosovar government.,>100,Ethnic Serbs in Kosovo.,5 months,The Kosovar government delayed imposing this law several times to avert ethnic strife but began a gradual implementation on November 1. Representatives from Kosovo and Serbia reached an agreement on November 23: Kosovo agreed to end further actions related to the re-registration of cars while Serbia agreed to stop issuing car license plates with the names of Kosovar cities.,,,X,,Hundreds,X,,,X,,Pristina
Kosovo,Feminist protests,22-Aug,Partly free,The rape of an 11-year old girl by five men in Pristina.,Frustrations with government inaction to combat patriarchial violence.,">1,000",General public.,2 weeks,"Samedin Mehmeti, the Director of the Kosovo Police, and Ali Gashi, the head of the Directorate for the Treatment of Prisoners and Minors, both resigned.",,,X,,Thousands,X,,,,,Pristina
Kuwait,Corruption protests,19-Nov,Partly free,Allegations of corruption against parliament speaker Marzouq al-Ghanim.,Frustration over entrenched corruption.,">1,000","General public, including former and current members of parliament.",1 week,No policy/leadership change in response to protests.,,X,X,,Tens of thousands,,,,,,Kuwait City
Kyrgyzstan,Corruption report protests,19-Nov,Not free,Circulation of a report that alleged that over $700 million in public funds had been misappropriated in a money laundering operation.,Anger over corruption and poor infrastructure.,>500,General public.,1 week,No policy/leadership change in response to protests.,,,X,X,Tens of thousands,,,,,X,Bishkek
Kyrgyzstan,Electoral protests,20-Oct,Not free,Allegations of vote-rigging and intimidation amid parliamentary elections.,Concern over the shrinking political space and lack of faith in electoral processes under President Sooronbai Jeenbekov.,">1,000",General public.,1 month,President Jeenbekov and his government resigned and were succeeded by an interim government led by opposition leader Sadyr Japarov.,,,X,,Thousands,X,,,,,Bishkek
Kyrgyzstan,Internet freedom protests,20-Jun,Not free,The proposal of a law that would allow authorities to block “fake news” online.,Concerns over state repression of independent online journalism and the media space more generally.,>500,General public.,1 week,President Sooronbay Jeenbekov sent the law back to parliament for further legislative review.,,,X,X,Tens of thousands,,,,,,Bishkek
Kyrgyzstan,Tekebayev arrest protests,17-Feb,Not free,"The arrest of opposition leader Omurbek Tekebayev on charges, which protesters alleged were politically motivated.","Frustration over a lack of genuine political pluralism, and recurring crackdowns on political opposition.",>500,"General public, especially supporters of Tekebayev.",1 week,No policy/leadership change in response to protests.,,,X,X,Tens of thousands,X,,,X,,Bishkek
Lebanon,Beirut blast investigation protests,23-Jan,Partly Free,The investigation into the 2020 Beirut blast remained frozen for more than one year.,Anger over the lack of accountability for those responsible for the 2020 Beirut port explosion.,>100,Family members of those killed in the 2020 Beirut blast.,"1 week in January 2023, 1 day in August 2023","Judge Tarek Bitar unexpectedly reopened the investigation that had been frozen. In response, Lebanon's top prosecutor, Ghassan Oweidat, blocked the move, filed charges against Judge Bitar, and ordered the release of all detainees related to the case, sparking a judicial crisis.",,,X,X,Hundreds,X,,,,,Beirut
Lebanon,October Movement,19-Oct,Partly free,"Introduction of taxes on tobacco, petrol, and WhatsApp voice calls. After August 2020, the protests were invigorated by the Beirut Port explosion.","High youth unemployment and a currency crisis, income inequality, poor service delivery, and political nepotism and corruption due to sectarianism.",">1,000,000",General public.,Active,"In October 2019, the government of Prime Minister Saad Hariri resigned. Protests continued under his successor, Hassan Diab, whose government resigned after the Beirut blast of 2020. In September 2021, Najib Mikati became prime minister.",X,X,X,X,Over 1 million,X,X,X,X,,Beirut
Lebanon,Prison protest,20-Mar,Partly free,Overcrowding in prisons during the coronavirus outbreak.,Overcrowding in Lebanese prisons.,Unknown,Prisoners.,1 day,No policy/leadership change in response to the protests.,,X,X,X,Tens of thousands,,,,,,Beirut
Liberia,Antigovernment protests,22-Dec,Partly free,Rising costs of food and fuel.,Frustration with government inaction to reduce economic hardships; frustration with President Weah's 48-day absence from the country.,">1,000",General public.,2 days,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Monrovia
Liberia,Economic protests,19-Jun,Partly free,Protest organized by the opposition to highlight rising prices and allegations of corruption.,"Stagnant economy, high levels of poverty and inflation, and corruption.",">1,000","Opposition parties, civil society activists.",7 months (sporadic),The government called for a roundtable to discuss how to revive the economy.,,,X,,Thousands,X,,,,,Monrovia
Libya,Anti-Israel protests,23-Aug,Not free,"Israeli Foreign Minister Eli Cohen announced that he had met secretly with Najla el-Mangoush, foreign minister for Libya’s Tripoli-based government, in Italy the week prior",Anger and betrayal over the prospect of Libya normalizing relations with Israel,>100,General public,Active,Prime Minister Abdulhamid Dbeibah suspended Mangoush and referred her for internal investigation. Mangoush fled to Turkey.,X,,X,,Hundreds,X,,,,,Tripoli
Libya,Standard of living protests,20-Aug,Not free,"Extended cuts to power and water service, gasoline supply disruptions.","Ongoing rampant corruption, the failure of the state to meet even basic needs, and lack of infrastructure.",">1,000",General public,2 months,"Prime Minister Fayez al-Sarraj of the internationally recognized Government of National Accord announced a cabinet reshuffle and called for elections to be held in March 2021. In the east, the non-recognized government affiliated with Khalid Haftar resigned on September 14, 2020.",,X,X,X,Hundreds of thousands,X,X,,X,,Tripoli
Madagascar,Cost of living protests,22-Jul,Partly free,Rising cost of living and rolling blackouts.,Worsening economic conditions.,>100,General public.,2 weeks,No policy/leadership change in response to protests.,,X,X,,Hundreds,,,,,,Antananarivo
Madagascar,Electoral law protests,18-Apr,Partly free,"Passage of new electoral laws that opposition candidates saw as preventing them from running for elections, with additional unfavorable provisions on campaign financing and media access.",Obstacles to opposition candidates’ participation.,">1,000",Opposition candidates.,1 month,"In May 2018, the court ruled part of the electoral law to be unconstitutional, specifically provisions on the revision of electoral lists and the duration of campaigns. Demonstrations continued after this initial ruling, and weeks after the first decision, the court ordered the dissolution of the government and appointment of a new prime minister.",,,X,X,Hundreds of thousands,X,X,,,,Antananarivo
Malawi,Anti-LGBT protest,23-Jul,Partly free,A Dutch NGO worker and a Malawian transgender woman separately faced charges under colonial-era legislation outlawing sodomy. Malawi’s High Court was set to hear their case on July 17; the pair was seeking to have bans on same-sex marriage and gay sex overturned.,Fear over the advance of LGBT rights in Malawi.,">5,000",Religious leaders.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Lilongwe
Malawi,Cost of living and corruption protests,22-Oct,Partly free,"Rapidly rising cost of living, a scandal in which the government paid to procure fertiziler that never materialized.","Perceptions of high corruption, mismanagement of COVID relief funds, and government incapacity to combat poverty and inflation.",>100,General public.,1 day,No policy/leadership change in response to protests.,,X,X,X,Hundreds,,,,,,Blantyre
Malawi,Cost of living protests,21-Nov,Partly free,Price hikes on fuel and other commodities; call for protest by a human rights CSO.,"Frustration with growing economic insecurity, rising cost of living, and a perceived failure by President Lazarus Chakwera to fulfill pledges to improve the economy.",">10,000",General public.,2 months,Chakwera introduced an economic recovery plan in December 2021.,,X,X,,Thousands,,,,,,Lilongwe
Malawi,Election fraud protests,19-May,Partly free,"Suspicions that the May 2019 election, which President Peter Mutharika won by only 159,000 votes, was rigged.",Election fraud and bribery.,"100,000",Opposition party leaders and their supporters.,10 months,"No policy/leadership change in response to the protests. The opposition challenged the election results in the court for the first time in Malawi’s history. Despite attempts by Mutharika’s supporters to bribe judges on the Constitutional Court, the court nullified the results of the presidential elections, citing irregularities. Electoral commissioners have refused to step down.",,,X,,Thousands,,,,,X,Lilongwe
Malawi,Vendor protest,20-Apr,Partly free,"Enactment of strict lockdown measures, including restrictions on social interaction and business operations.",Loss of revenue for small vendors dependent on in-person markets.,">1,000",Street vendors.,1 day,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,,X,Lilongwe
Malaysia,Black Flag protests,21-Jul,Partly free,Perceived government mismanagement of rising coronavirus cases.,Frustration with former prime minister Muhyiddin Yassin's efforts to stay in power amid declining parliamentary confidence; rising coronavirus cases; declining economic opportunity for young people.,">1,000",Youth and general public.,2 months,Yassin resigned in mid-August after losing parliamentary confidence.,,X,X,,Thousands,X,,,,X,Kuala Lumpur
Maldives,Maldives protests,18-Feb,Partly free,"Order by the Supreme Court for the government to release opposition leaders from prison, which the government disobeyed. Security forces later arrested two out of five Supreme Court justices, blocked off parliament, and arrested several opposition leaders.",Imprisonment of political opponents and attacks on judicial independence.,">1,000",General public.,1 month,No policy/leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,,,,Malé
Mali,Ethnic violence protest,19-Apr,Not free,Killing of 160 villagers in an interethnic conflict.,Failure of government to quell/respond to interethnic violence.,"12,500",Civil society.,1 day,Then prime minister Soumeylou Boubèye Maïga and his entire government stepped down.,,X,X,,Hundreds of thousands,X,X,X,X,,Bamako
Mali,Movement of June 5,20-Jun,Not free,Worsening of the security situation in Mali’s northern and central regions.,"Lack of political reform, economic stagnation, government corruption, and regime’s inability to address the worsening conflict.",">10,000","Muslim religious leaders, representatives of the Fulani herding community, opposition parties, civil society groups.",2 months,"Military coup on August 19 overthrew President Ibrahim Boubacar Keita, fulfilling a key protester demand.",,,X,,Tens of thousands,X,,,,,Bamako
Malta,“Mafia state” protests,19-Nov,Free,Developments in the investigation of the 2017 death of a journalist.,"Then prime minister Joseph Muscat’s influence over law enforcement and judicial systems, and corruption among political leaders.","4,000","Women, feminist organizations.",2 months,Muscat resigned.,,X,,,Tens of thousands,,,,,,Valletta
Malta,Abortion bill protest,22-Dec,Free,The Maltese parliament introduced a bill that would permit legal abortion in cases where the mother's life is at risk.,Fears that liberalization of the country's abortion laws will lead to wider acceptance of abortion.,"20,000",General public,1 day,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,,,Valletta
Mauritania,Election protests,19-Jun,Partly free,Call by opposition leaders for protests after government-backed presidential candidate Mohamed Ould Ghazouani was proclaimed the winner.,Concerns about electoral fraud and the political manipulation of votes.,>500,Supporters of the political opposition.,1 week,No policy/leadership change in response to protests.,,X,,,Tens of thousands,,,,,,Nouakchott
Mauritius,Tanker spill protests,20-Aug,Free,"The spillage of over 1,000 tons of oil from the wreckage of the oil tanker MV Wakashio.","Anger at the government over insufficient information about the incident, and general frustration about the degradation of environmental resources in Mauritius.",">75,000","General public, particularly environmental activists.",2 months,No policy/leadership change in response to the protests.,,X,X,,Hundreds of thousands,,X,X,X,,Port Louis
Mexico,Electoral reform protests,22-Nov,Partly Free,"The President introduced a plan to overhaul the National Electoral Institute (INE), the country's agency responsible for organizing federal elections.",Fears that proposed changes would concentrate power in the hands of the government.,">100,000",General public.,3.5 months,"In February 2023, Mexico's senate approved the reform. On May 8, the country's Supreme Court voted to strike down the reform's push to rein in the INE's ability to police political communications. On June 22, the Supreme Court invalidated another part of the reform that would have significantly shrunk Mexico's INE and cut its budget.",,,X,,Tens of thousands,,X,,X,,Mexico City
Mexico,Farmer protests,23-Jun,Partly free,"The international prices for corn, wheat, and sorghum fell.",Economic anxiety caused by the fall in crop prices.,>100,Farmers.,2 days,The governor of the Sinaloa state agreed to meet with the protesters.,,X,,,Hundreds,,,,,,Mexico City
Mexico,Femicide protests,20-Mar,Partly free,"In March 2020, triggered by the murder of a twenty-five-year-old woman and seven-year-old girl. In March 2022, protests were triggered by rising femicide rates and commemorations of International Women's Day. In March 2023, protests were triggered again by commemorations of International Women's Day.","Anger at violence against women, and lack of a government focus on addressing gender-based violence.",">10,000",Women.,3 weeks in March 2020; 1 day in March 2022; 1 day in March 2023,No policy or leadership change in response to the protests.,,,X,,Thousands,,,X,,,Mexico City
Mexico,Migrant protests,23-Apr,Partly free,A fire at a migrant processing center in Ciudad Juárez killed forty migrants.,Anger over the unsafe condition of some migrant detention centers and harassment from Mexico’s National Immigration Institute; frustration over the difficulty in procuring paperwork from the government that would allow migrants to travel to the U.S.-Mexico border.,"3,000",Migrants.,4 weeks,A judge ordered the head of Mexico’s National Immigration Institute to stand trial on charges that he failed to protect those in his custody at the migrant processing detention center in Ciudad Juárez on the day of the fire.,,,X,,Thousands,,,,,,Mexico City
Mexico,AMLO protests,20-Oct,Partly free,Perception that the government of President Andres Manuel Lopez Obrador has mismanaged the public health and economic crises stemming from the corronavirus pandemic.,"Economic frustration and broad-based opposition to the Lopez Obrador government, especially from conservatives.",">5,000","General public, especially conservatives and adherents of the FRENAAA, or National Anti-AMLO Front, movement.",2 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Mexico City
Moldova,Fuel price protests,22-Jun,Partly free,"Worsening inflation, especially in fuel prices.",Frustration with perceived missteps in gas negotiations with Russia; anger over the government's pro-Western policies.,">1,000","General public, especially members of the opposition Shor party.",1 year,"In February 2023, Moldova's government resigned. President Maia Sandu accepted Prime Minister Natalia Gavrilita's resignation and nominated former interior minister Dorin Recean to replace her. On June 19, Moldova’s Constitutional Court banned the Shor Party and said the protests led by the group were “unconstitutional.""",,X,X,,Thousands,X,,,X,,Chisinau
Moldova,Corruption protests,18-Jun,Partly free,Supreme Court’s decision to annul the results of the mayoral election in the capital.,Lack of judicial independence.,"20,000",General public.,2 months,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,,,,Chisinau
Mongolia,Coal theft protests,22-Dec,Free,"Allegations that corrupt officials stole and sold 385,000 tons of coal from the national stockpile for private gain.","Frustration over high rates of poverty, inequality, and inflation.",">1,000",General public.,3 weeks,"Mongolian authorities created an investigative committee, arrested several officers, and announced plans to reform the state-owned mining firm and placed it under state supervision.",,X,X,X,Thousands,X,,,,,Ulaanbaatar
Mongolia,"""Do Your Job"" protests",22-Apr,Free,"High inflation, food shortages, and rising fuel prices.","Anger over persistent corruption, governmental inefficiency, and state debt.",">1,000",Youth.,2 days,No policy/leadership change in response to protests.,,X,X,X,Thousands,,,,,,Ulaanbaatar
Mongolia,Coronavirus response protests,21-Jan,Free,The circulation of a video of a mother and her newborn being given substandard care during a transfer to a coronavirus quarantine facility.,Frustration over the state’s aggressive coronavirus policies; desire for more press freedom and assembly rights; and concern over the economic fallout of coronavirus mitigation measures.,">5,000",General public.,1 week,Prime Minister Khurelsukh Ukhnaa and his cabinet resigned.,,,X,,Thousands,X,,,,X,Ulaanbaatar
Mongolia,Corruption protests,18-Dec,Free,Corruption allegations against the speaker of parliament and other political figures.,"Corruption allegations against political elites, falling foreign investment and currency values, and democratic backslide.","20,000","Civic activists, students, academics, journalists.",6 months,"The speaker of parliament, Enkhbold Miyegombo, was removed from office.",,X,,,Thousands,,,X,,,Ulaanbaatar
Montenegro,"""We are many"" protests",22-Dec,Partly free,The country’s parliament introduced and passed a controversial law that strips the president of his decisive role in appointing the prime minister.,Rising tensions between the country's pro-Serbia/pro-Russia and pro-West factions.,">10,000",Supporters of the opposition,1 day,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Podgorica
Montenegro,“Religion law” protests,19-Dec,Partly free,"Passage of a law that would mandate the creation of a register for all religious buildings and sites owned by the independent kingdom of Montenegro before 1918, when Montenegro became part of the Kingdom of Serbs, Croats and Slovenes, which was later renamed Yugoslavia. Any faith group that could not provide evidence that they owned the property could lose rights to the property.",Concerns among supporters of the Serbian Orthodox Church that the government is attempting to seize the church’s assets and distance Montenegro from Serbia.,"60,000","Teachers, teachers’ unions.",4 months,No policy/leadership change in response to the protests.,,,X,,Millions,,X,,X,,Podgorica
Montenegro,Corruption protests,19-Mar,Partly free,Allegations of corruption against President Milo Đukanović.,Democratic backslide and corruption.,"10,000","Serbian Orthodox Church clergy and their supporters, pro-Russian and pro-Serbian political movements.",2 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Podgorica
Montenegro,Minority government protest,22-Feb,Partly free,Efforts by the Democratic Party of Socialists to form a minority government.,Frustration over political dealmaking and a belief that new elections should be held in order to determine the composition of the government.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Podgorica
Montenegro,Religion law protests,20-Dec,Partly free,Government plans to rewrite a law in order to keep hundreds of Serbian Orthodox monasteries under church ownership rather than transferring them to the state.,Tensions between ethnic and religious groups in Montenegro; concerns over the relationship between the government and the Serbian Orthodox Church; and feelings of Montenegrin nationalism.,">1,000",General public.,1 month,No policy or leadership change in response to the protests.,,,X,,Thousands,,,,,,Podgorica
Morocco,Rising cost of living protests,22-Feb,Partly free,"Increasing prices of basic goods, including grain and fuel.",Frustration at inflation and the perception that the government's response to rising prices has been insufficient.,">1,000",General public.,4 months,The government acknowledged that its policies had been insufficient to address rising prices.,,X,X,,Thousands,,,,X,,Rabat
Morocco,Abortion access protests,22-Sep,Partly free,"The death of a 14-year-old girl named Meriem who had been raped; she died on September 6 of an unsafe, illegal abortion.",Anger over lack of access to safe abortion in Morocco.,>100,Women.,2 weeks,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Rabat
Morocco,Jerada mine protests,17-Dec,Partly free,The death of scavengers in an abandoned coal mine in the Jerada region.,"Anger over the lack of economic opportunity, poor infrastructure, unsafe working conditions, and slow development of noncoastal areas.",">10,000",General public.,7 months,The government announced a series of development initiatives for the Jerada region.,,,X,,Tens of thousands,,,,,,Rabat
Morocco,Political prisoner protests,18-Apr,Partly free,Arrest of leaders of the Hirak Rif protest movement.,"Lack of genuine political pluralism, and restrictions on civil society.",">10,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,Rabat
Morocco,Teacher protests,19-Feb,Partly free,"Anniversary of the Arab Spring uprising. Discontent over fixed-term contracts for teachers, limited opportunities for low-ranking teachers, and temporary government contracts that provide limited healthcare or pension benefits.",Inadequate compensation and benefits for teachers.,"15,000","Trustees, cultural experts, activists, civil society, members of the Newar community.",2 months,"The Moroccan government and public unions made a deal to increase salaries for public sector employees and establish a new minimum wage for national education sector employees. However, contracted teachers did not receive benefits.",,,X,,Tens of thousands,X,,,,,Rabat
Mozambique,Azagaia protests,23-Mar,Partly free,"The death of rapper Edson da Luz, known as ""Azagaia,"" an anti-government critic, from an epileptic seizure.","Frustrations with the ruling party, high poverty, and perceieved corruption, themes about which Azagaia rapped in his songs.",">1,000",General public.,9 days,No policy/leadership change in response to protests.,,X,X,X,Thousands,,,,,,Maputo
Myanmar,Aung San statue protests,18-Jul,Not free,The announcement of government plans to construct statues of state founder Aung San.,"Anger over discriminatory policies toward ethnic minorities, and the lack of autonomy for minority ethnic groups.",">1,000",Ethnic minorities.,8 months,No policy/leadership change in response to protests.,,,X,,Hundreds of thousands,,X,,,,Naypyidaw
Myanmar,Coup protests,21-Feb,Not free,The February 1 coup d'etat orchestrated by the Burmese military against the National League for Democracy (NLD) and civilian government.,Opposition to military rule and its rejection of the overwhelmingly pro-NLD election results.,">100,000",General public.,1.5 years,No policy/leadership change in response to the protests.,,,X,,Hundreds of thousands,,X,X,X,,Naypyidaw
Myanmar,Journalist jailing protests,18-Sep,Not free,The arrest of two Reuters journalists by Burmese authorities for allegedly violating the Official Secrets Act.,Concerns over a lack of press freedom and a government crackdown on free expression.,>500,General public.,4 months,The reporters were released after a few months in custody.,,X,X,X,Hundreds of thousands,X,X,,,,Naypyidaw
Namibia,Genocide recognition deal protest,21-Sep,Free,A parliamentary debate over an agreement with Germany to recognize the genocide during its colonial occupation.,Belief that reconciliation efforts were insufficient and that the government needed to do more to reckon with the country's colonial era.,>400,General public.,1 day,No policy/leadership change in response to protest.,,,X,,Hundreds,,,,,,Windhoek
